"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"287","11410112","대현동","Daehyeon-dong","37.5613992","126.9453107"
"289","11140174","만리동2가","Malli-dong 2(i)-ga","37.5542553","126.9643234"
"290","11650107","반포동","Banpo-dong","37.5045831","127.002177"
"291","11440124","연남동","Yeonnam-dong","37.5626693","126.9223736"
"292","11650108","서초동","Seocho-dong","37.4885178","127.0171251"
"333","11290106","동소문동3가","Dongsomun-dong 3(sam)-ga","37.5903924","127.0116172"
"345","11290127","보문동5가","Bomun-dong 5(o)-ga","37.5824037","127.0201561"
"347","11710112","오금동","Ogeum-dong","37.5037347","127.1339178"
"350","11440117","신정동","Sinjeong-dong","37.5432645","126.9306675"
"361","11200122","용답동","Yongdap-dong","37.5624296","127.0550854"
"370","11290114","삼선동4가","Samseon-dong 4(sa)-ga","37.5898185","127.0133533"
"373","11290129","보문동7가","Bomun-dong 7(chil)-ga","37.5796096","127.0223215"
"379","11290109","동소문동6가","Dongsomun-dong 6(yuk)-ga","37.5936325","127.0140289"
"382","11290138","장위동","Jangwi-dong","37.6160358","127.0503368"
"383","11560131","양화동","Yanghwa-dong","37.5489947","126.8900755"
"385","11470101","신정동","Sinjeong-dong","37.5163358","126.853025"
"386","11470102","목동","Mok-dong","37.5367323","126.8764168"
"389","11290105","동소문동2가","Dongsomun-dong 2(i)-ga","37.5888166","127.0081301"
"395","11560114","당산동4가","Dangsan-dong 4(sa)-ga","37.5291366","126.8991346"
"298","11440103","신공덕동","Singongdeok-dong","37.5443996","126.9556066"
"299","11290124","안암동4가","Anam-dong 4(sa)-ga","37.5805404","127.0246074"
"300","11440126","중동","Jung-dong","37.5716735","126.9067459"
"314","11410109","현저동","Hyeonjeo-dong","37.5741171","126.954731"
"316","11410107","옥천동","Okcheon-dong","37.5692019","126.9591259"
"317","11290132","보문동3가","Bomun-dong 3(sam)-ga","37.584334","127.0165173"
"318","11290102","성북동1가","Seongbuk-dong 1(il)-ga","37.5895393","127.004033"
"319","11290123","안암동3가","Anam-dong 3(sam)-ga","37.5839528","127.0236731"
"320","11290117","동선동2가","Dongseon-dong 2(i)-ga","37.5900467","127.0197109"
"321","11440113","구수동","Gusu-dong","37.5460069","126.9323383"
"323","11650110","염곡동","Yeomgok-dong","37.4631455","127.0527371"
"324","11140134","인현동2가","Inhyeon-dong 2(i)-ga","37.5641432","126.9962714"
"325","11740105","길동","Gil-dong","37.5397058","127.1470069"
"301","11350104","하계동","Hagye-dong","37.638495","127.0715073"
